Batter_Name,Age,G,PA,AB,R,H,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,FBP,IBB,SO,GDP,SAC,SF,Year,Salary,WAR,Year_Born,Hand,CP,TP,AVG,OBP,SLG,OPS,P_Year,YAB,YOPS
김선빈,22,98,412,335,58,97,79,12,2,4,125,47,22,9,50,2,52,0,42,8,20,5,2011,7000,2.96,1989-12-18,우타우투,유격수,유격수,0.29,0.38,0.373,0.753,2012,441,0.73
김선빈,23,126,532,441,63,124,98,19,2,5,162,55,30,12,58,2,60,0,48,9,25,6,2012,11000,3.878,1989-12-18,우타우투,유격수,유격수,0.281,0.363,0.367,0.73,2013,310,0.725
김선빈,24,88,363,310,51,93,80,12,0,1,108,29,28,14,39,2,41,0,26,10,8,4,2013,18000,2.276,1989-12-18,우타우투,유격수,유격수,0.3,0.377,0.348,0.725,2014,93,0.645
김선빈,27,6,27,25,3,9,6,2,1,0,13,0,1,1,1,0,1,0,3,1,1,0,2016,13000,0.284,1989-12-18,우타우투,유격수,유격수,0.36,0.385,0.52,0.905,2017,476,0.897
김선빈,28,137,529,476,84,176,136,34,1,5,227,64,4,4,39,5,44,4,40,10,5,4,2017,8000,5.047,1989-12-18,우타우투,유격수,유격수,0.37,0.42,0.477,0.897,2018,424,0.747
김선빈,29,127,492,424,73,125,102,17,2,4,158,49,4,1,48,9,57,1,42,10,6,5,2018,28000,1.527,1989-12-18,우타우투,유격수,유격수,0.295,0.374,0.373,0.747,2019,394,0.731
안치홍,19,123,415,371,53,87,56,13,4,14,150,38,8,5,32,2,34,1,103,10,7,3,2009,2400,0.669,1990-07-02,우타우투,2루수,2루수,0.235,0.297,0.404,0.701,2010,461,0.766
안치홍,20,133,537,461,79,134,102,21,3,8,185,50,18,5,49,7,56,1,96,12,16,4,2010,6000,3.238,1990-07-02,우타우투,2루수,2루수,0.291,0.365,0.401,0.766,2011,378,0.804
안치홍,21,115,433,378,54,119,89,21,4,5,163,46,9,4,33,3,36,1,55,13,17,2,2011,10000,3.277,1990-07-02,우타우투,2루수,2루수,0.315,0.373,0.431,0.804,2012,489,0.725
안치홍,22,132,558,489,60,141,105,31,2,3,185,64,20,3,42,6,48,4,74,12,14,7,2012,12500,3.716,1990-07-02,우타우투,2루수,2루수,0.288,0.347,0.378,0.725,2013,414,0.645
안치홍,23,118,484,414,56,103,85,15,0,3,127,39,16,1,52,6,58,0,74,13,7,5,2013,20000,1.614,1990-07-02,우타우투,2루수,2루수,0.249,0.338,0.307,0.645,2014,434,0.934
안치홍,26,10,43,36,3,8,6,2,0,0,10,1,0,0,5,0,5,0,8,2,1,1,2016,15000,-0.124,1990-07-02,우타우투,2루수,2루수,0.222,0.31,0.278,0.588,2017,487,0.886
안치홍,27,132,545,487,95,154,102,29,2,21,250,93,7,0,43,4,47,1,70,19,6,5,2017,22000,4.232,1990-07-02,우타우투,2루수,2루수,0.316,0.373,0.513,0.886,2018,494,0.955
안치홍,28,130,549,494,88,169,107,38,1,23,278,118,5,1,36,10,46,1,57,13,0,9,2018,32000,4.382,1990-07-02,우타우투,2루수,2루수,0.342,0.392,0.563,0.955,2019,362,0.792
황대인,19,22,44,44,3,12,8,2,0,2,20,7,0,0,0,0,0,0,18,3,0,0,2015,3000,-0.353,1996-02-10,우타우투,1루수,지명타자,0.273,0.273,0.455,0.728,2016,7,1.572
이창진,23,4,2,2,1,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2014,2400,0.068,1991-03-04,우타우투,중견수,중견수,0.5,0.5,1,1.5,2015,19,0.411
이창진,27,20,30,29,5,5,4,1,0,0,6,0,0,1,0,1,1,0,3,2,0,0,2018,2400,-0.295,1991-03-04,우타우투,중견수,중견수,0.172,0.2,0.207,0.407,2019,400,0.745
김주찬,19,60,52,48,22,15,10,3,2,0,22,5,7,2,3,1,4,0,16,0,0,0,2000,2400,0.357,1981-03-25,우타우투,1루수,좌익수,0.312,0.365,0.458,0.823,2001,300,0.813
김주찬,20,86,333,300,57,94,65,21,4,4,135,31,29,8,24,2,26,0,56,7,2,5,2001,2300,1.807,1981-03-25,우타우투,1루수,좌익수,0.313,0.363,0.45,0.813,2002,264,0.65
김주찬,21,84,291,264,25,58,34,13,4,7,100,25,9,8,14,5,19,0,75,5,7,1,2002,4100,-0.446,1981-03-25,우타우투,1루수,좌익수,0.22,0.271,0.379,0.65,2003,125,0.48
김주찬,22,55,131,125,12,20,11,5,1,3,36,3,7,2,5,0,5,0,33,1,1,0,2003,4600,-0.913,1981-03-25,우타우투,1루수,좌익수,0.16,0.192,0.288,0.48,2004,450,0.666
김주찬,26,113,416,387,49,101,78,17,1,5,135,30,22,8,13,8,21,3,69,4,7,1,2007,4000,0.568,1981-03-25,우타우투,1루수,좌익수,0.261,0.298,0.349,0.647,2008,412,0.752
김주찬,27,104,458,412,75,129,105,16,7,1,162,42,32,18,24,8,32,0,61,6,9,5,2008,6600,3.076,1981-03-25,우타우투,1루수,좌익수,0.313,0.359,0.393,0.752,2009,435,0.807
김주찬,28,109,479,435,77,135,93,30,5,7,196,51,34,7,28,6,34,0,56,7,4,6,2009,10500,2.26,1981-03-25,우타우투,1루수,좌익수,0.31,0.356,0.451,0.807,2010,485,0.71
김주찬,29,118,535,485,89,134,103,18,4,9,187,40,65,19,31,5,36,1,65,5,11,3,2010,15000,1.296,1981-03-25,우타우투,1루수,좌익수,0.276,0.324,0.386,0.71,2011,321,0.797
김주찬,30,86,371,321,58,100,79,12,3,6,136,40,25,10,27,7,34,0,38,4,12,4,2011,17000,2.396,1981-03-25,우타우투,1루수,좌익수,0.312,0.373,0.424,0.797,2012,435,0.751
김주찬,31,118,488,435,62,128,93,27,3,5,176,39,32,13,30,7,37,1,48,7,11,5,2012,27000,2.88,1981-03-25,우타우투,1루수,좌익수,0.294,0.346,0.405,0.751,2013,168,0.777
김주찬,32,47,195,168,24,51,38,9,4,0,68,28,23,3,15,4,19,1,18,4,7,1,2013,50000,1.322,1981-03-25,우타우투,1루수,좌익수,0.304,0.372,0.405,0.777,2014,399,0.911
김주찬,33,100,442,399,72,138,93,32,4,9,205,46,22,10,31,4,35,2,48,11,6,2,2014,50000,2.974,1981-03-25,우타우투,1루수,좌익수,0.346,0.397,0.514,0.911,2015,333,0.954
김주찬,34,98,377,333,66,109,66,23,2,18,190,62,8,2,23,12,35,3,58,10,1,8,2015,50000,3.164,1981-03-25,우타우투,1루수,좌익수,0.327,0.383,0.571,0.954,2016,511,0.952
김주찬,35,130,555,511,97,177,114,37,3,23,289,101,9,7,30,7,37,1,68,13,1,6,2016,50000,4.271,1981-03-25,우타우투,1루수,좌익수,0.346,0.386,0.566,0.952,2017,440,0.848
김주찬,36,122,478,440,78,136,83,39,2,12,215,70,9,2,31,4,35,0,59,17,2,1,2017,60000,2.342,1981-03-25,우타우투,1루수,좌익수,0.309,0.359,0.489,0.848,2018,429,0.895
김주찬,37,121,471,429,71,146,105,23,0,18,223,93,8,1,23,7,30,5,57,15,2,10,2018,40000,2.328,1981-03-25,우타우투,1루수,좌익수,0.34,0.375,0.52,0.895,2019,337,0.714
최정민,26,8,15,13,1,4,4,0,0,0,4,2,0,0,1,0,1,0,3,0,1,0,2015,3000,-0.31,1989-06-02,좌타우투,2루수,2루수,0.308,0.357,0.308,0.665,2016,155,0.754
최정민,27,88,177,155,29,51,46,4,1,0,57,11,8,4,8,7,15,0,48,1,6,1,2016,3000,0.433,1989-06-02,좌타우투,2루수,2루수,0.329,0.386,0.368,0.754,2017,9,0.777
최정민,28,8,9,9,1,3,2,1,0,0,4,1,0,0,0,0,0,0,4,0,0,0,2017,5500,-0.018,1989-06-02,좌타우투,2루수,2루수,0.333,0.333,0.444,0.777,2018,83,0.668
최정민,29,57,95,83,17,21,17,2,0,2,29,6,1,3,7,1,8,0,20,2,4,0,2018,5500,-0.364,1989-06-02,좌타우투,2루수,2루수,0.253,0.319,0.349,0.668,2019,5,0
유민상,26,15,45,38,5,10,8,1,0,1,14,6,1,0,5,1,6,0,9,1,0,1,2015,3200,-0.055,1989-04-13,좌타우투,1루수,1루수,0.263,0.356,0.368,0.724,2016,213,0.779
유민상,27,95,254,213,30,60,43,12,1,4,86,37,1,1,25,9,34,0,39,8,3,4,2016,3200,0.238,1989-04-13,좌타우투,1루수,1루수,0.282,0.375,0.404,0.779,2017,30,0.67
유민상,28,15,33,30,4,7,5,1,0,1,11,2,1,0,2,1,3,0,8,1,0,0,2017,4500,0.041,1989-04-13,좌타우투,1루수,1루수,0.233,0.303,0.367,0.67,2018,48,0.904
유민상,29,31,58,48,9,13,7,2,1,3,26,14,0,0,8,0,8,0,14,3,0,2,2018,4500,0.288,1989-04-13,좌타우투,1루수,1루수,0.271,0.362,0.542,0.904,2019,175,0.849
최정용,20,48,61,54,10,16,14,1,1,0,19,2,0,0,3,0,3,0,16,0,4,0,2016,2700,0.066,1996-10-24,좌타우투,2루수,2루수,0.296,0.333,0.352,0.685,2017,6,0.762
류승현,21,35,85,75,9,23,18,3,1,1,31,13,0,0,7,1,8,0,12,2,1,1,2018,2900,0.164,1997-07-01,좌타우투,1루수,3루수,0.307,0.369,0.413,0.782,2019,150,0.633
고영우,23,29,11,11,7,1,1,0,0,0,1,0,2,1,0,0,0,0,6,0,0,0,2013,2400,-0.162,1990-01-08,우타우투,3루수,2루수,0.091,0.091,0.091,0.182,2014,24,0.315
고영우,24,21,27,24,4,2,0,2,0,0,4,1,0,0,1,1,2,0,6,0,0,1,2014,2800,-0.487,1990-01-08,우타우투,3루수,2루수,0.083,0.148,0.167,0.315,2015,52,0.464
고영우,25,82,57,52,17,8,5,2,0,1,13,4,7,3,4,0,4,0,15,0,1,0,2015,3200,-0.519,1990-01-08,우타우투,3루수,2루수,0.154,0.214,0.25,0.464,2016,70,0.569
고영우,26,63,81,70,18,15,12,3,0,0,18,4,3,2,7,3,10,0,15,1,1,0,2016,6000,-0.387,1990-01-08,우타우투,3루수,2루수,0.214,0.312,0.257,0.569,2017,38,0.547
윤해진,23,68,101,90,17,24,22,2,0,0,26,6,5,3,6,2,8,0,22,2,3,0,2012,2400,0.346,1989-02-25,우타우투,3루수,유격수,0.267,0.327,0.289,0.616,2013,54,0.36
윤해진,24,47,59,54,11,8,7,1,0,0,9,4,3,2,2,1,3,0,15,1,2,0,2013,2400,-0.464,1989-02-25,우타우투,3루수,유격수,0.148,0.193,0.167,0.36,2014,2,2
윤해진,25,5,3,2,0,2,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,2014,2400,0.136,1989-02-25,우타우투,3루수,유격수,1,1,1,2,2015,35,0.475
윤해진,26,28,38,35,4,6,4,1,0,1,10,2,0,0,0,1,1,0,8,0,1,1,2015,2400,0.148,1989-02-25,우타우투,3루수,유격수,0.171,0.189,0.286,0.475,2016,30,0.479
이우성,22,2,5,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2016,2800,-0.06,1994-07-17,우타우투,좌익수,좌익수,0.2,0.2,0.2,0.4,2017,2,0
이우성,23,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,2800,-0.052,1994-07-17,우타우투,좌익수,좌익수,0,0,0,0,2018,177,0.648
이우성,24,71,199,177,24,40,27,9,0,4,61,24,1,2,16,4,20,0,57,6,1,1,2018,2800,-0.551,1994-07-17,우타우투,좌익수,좌익수,0.226,0.303,0.345,0.648,2019,151,0.645
유재신,21,54,97,93,19,24,21,2,1,0,28,7,7,2,1,1,2,0,19,2,2,0,2008,2000,0.096,1987-11-21,우타우투,좌익수,좌익수,0.258,0.274,0.301,0.575,2009,4,0
유재신,25,58,96,85,14,20,16,2,2,0,26,7,5,2,6,0,6,0,20,0,4,1,2012,2400,0.142,1987-11-21,우타우투,좌익수,좌익수,0.235,0.283,0.306,0.589,2013,20,0.504
유재신,26,75,23,20,22,4,4,0,0,0,4,2,7,8,2,1,3,0,9,1,0,0,2013,3200,-0.221,1987-11-21,우타우투,좌익수,좌익수,0.2,0.304,0.2,0.504,2014,2,0
유재신,27,23,2,2,8,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2014,4200,-0.037,1987-11-21,우타우투,좌익수,좌익수,0,0,0,0,2015,27,0.666
유재신,28,62,32,27,21,7,5,2,0,0,9,3,10,1,3,0,3,0,10,2,2,0,2015,6000,0.38,1987-11-21,우타우투,좌익수,좌익수,0.259,0.333,0.333,0.666,2016,62,0.619
유재신,29,93,74,62,20,16,16,0,0,0,16,6,16,7,10,0,10,0,12,0,2,0,2016,6000,-0.254,1987-11-21,우타우투,좌익수,좌익수,0.258,0.361,0.258,0.619,2017,18,0.485
유재신,30,25,20,18,4,4,4,0,0,0,4,1,3,1,1,0,1,0,6,0,1,0,2017,6000,-0.107,1987-11-21,우타우투,좌익수,좌익수,0.222,0.263,0.222,0.485,2018,33,1.192
유재신,31,46,40,33,19,14,9,3,1,1,22,8,4,0,7,0,7,0,10,0,0,0,2018,6500,0.238,1987-11-21,우타우투,좌익수,좌익수,0.424,0.525,0.667,1.192,2019,51,0.661
이인행,26,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,3100,-0.097,1991-06-30,좌타우투,우익수,우익수,0,0,0,0,2018,1,0
이인행,27,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,3200,-0.055,1991-06-30,좌타우투,우익수,우익수,0,0,0,0,2019,16,0.566
문선재,23,93,240,217,31,58,43,10,1,4,82,25,8,5,13,3,16,0,71,1,6,1,2013,2500,0.195,1990-05-20,우타우투,좌익수,1루수,0.267,0.316,0.378,0.694,2014,20,0.45
문선재,24,22,24,20,4,3,2,1,0,0,4,4,3,0,3,0,3,0,5,0,0,1,2014,7500,-0.078,1990-05-20,우타우투,좌익수,1루수,0.15,0.25,0.2,0.45,2015,212,0.678
문선재,25,103,245,212,27,48,29,13,1,5,78,27,9,6,23,3,26,0,54,4,6,1,2015,6500,-0.995,1990-05-20,우타우투,좌익수,1루수,0.226,0.31,0.368,0.678,2016,111,0.885
문선재,26,52,127,111,28,32,20,3,2,7,60,16,5,0,10,0,10,0,29,1,5,1,2016,6500,1.174,1990-05-20,우타우투,좌익수,1루수,0.288,0.344,0.541,0.885,2017,92,0.746
문선재,27,35,107,92,17,24,15,6,1,2,38,14,0,3,10,1,11,0,24,0,2,2,2017,8000,0.249,1990-05-20,우타우투,좌익수,1루수,0.261,0.333,0.413,0.746,2018,6,0.334
문선재,28,2,6,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2018,7000,-0.216,1990-05-20,우타우투,좌익수,1루수,0.167,0.167,0.167,0.334,2019,49,0.642
나지완,23,73,239,200,25,59,40,12,1,6,91,30,1,2,28,6,34,1,44,2,1,4,2008,2400,1.838,1985-05-19,우타우투,지명타자,지명타자,0.295,0.391,0.455,0.846,2009,384,0.842
나지완,24,128,457,384,58,101,66,12,0,23,182,73,4,1,58,8,66,3,90,9,3,4,2009,3800,2.36,1985-05-19,우타우투,지명타자,지명타자,0.263,0.368,0.474,0.842,2010,316,0.735
나지완,25,109,384,316,42,68,42,11,0,15,124,53,3,2,45,18,63,1,82,9,2,3,2010,10000,0.54,1985-05-19,우타우투,지명타자,지명타자,0.215,0.343,0.392,0.735,2011,291,0.903
나지완,26,85,331,291,41,88,61,9,0,18,151,66,0,1,35,4,39,0,63,4,0,1,2011,9000,2.59,1985-05-19,우타우투,지명타자,지명타자,0.302,0.384,0.519,0.903,2012,398,0.782
나지완,27,124,480,398,40,109,80,17,1,11,161,56,7,3,56,13,69,4,93,9,8,5,2012,12500,3.171,1985-05-19,우타우투,지명타자,지명타자,0.274,0.377,0.405,0.782,2013,435,0.868
나지완,28,125,522,435,57,125,86,18,0,21,206,96,7,3,62,18,80,1,111,12,1,5,2013,15000,4.23,1985-05-19,우타우투,지명타자,지명타자,0.287,0.394,0.474,0.868,2014,398,0.914
나지완,29,118,470,398,64,124,83,22,0,19,203,79,3,3,54,12,66,4,97,9,0,6,2014,20000,2.376,1985-05-19,우타우투,지명타자,지명타자,0.312,0.404,0.51,0.914,2015,304,0.753
나지완,30,116,368,304,34,77,54,16,0,7,114,31,3,1,46,16,62,3,79,10,0,2,2015,20000,-0.144,1985-05-19,우타우투,지명타자,지명타자,0.253,0.378,0.375,0.753,2016,380,1.022
나지완,31,118,486,380,84,117,69,21,2,25,217,90,6,3,85,17,102,1,90,8,0,4,2016,20000,3.695,1985-05-19,우타우투,지명타자,지명타자,0.308,0.451,0.571,1.022,2017,459,0.939
나지완,32,137,551,459,85,138,88,20,3,27,245,94,1,1,62,23,85,0,105,10,0,7,2017,60000,3.457,1985-05-19,우타우투,지명타자,지명타자,0.301,0.405,0.534,0.939,2018,317,0.951
나지완,33,114,379,317,50,86,42,18,0,26,182,78,0,0,38,19,57,2,81,14,0,5,2018,60000,2.458,1985-05-19,우타우투,지명타자,지명타자,0.271,0.377,0.574,0.951,2019,129,0.665
최형우,25,126,440,384,68,106,63,24,0,19,187,71,3,0,48,6,54,2,76,9,0,2,2008,5000,3.517,1983-12-16,좌타우투,지명타자,좌익수,0.276,0.364,0.487,0.851,2009,415,0.883
최형우,26,113,481,415,70,118,71,24,0,23,211,83,1,2,53,9,62,4,60,12,1,3,2009,10000,2.974,1983-12-16,좌타우투,지명타자,좌익수,0.284,0.375,0.508,0.883,2010,420,0.913
최형우,27,121,506,420,71,117,63,29,1,24,220,97,4,0,71,8,79,5,91,13,2,5,2010,13500,4.274,1983-12-16,좌타우투,지명타자,좌익수,0.279,0.389,0.524,0.913,2011,480,1.044
최형우,28,133,571,480,80,163,93,37,3,30,296,118,4,3,76,5,81,15,88,8,0,10,2011,18500,7.636,1983-12-16,좌타우투,지명타자,좌익수,0.34,0.427,0.617,1.044,2012,461,0.773
최형우,29,125,531,461,51,125,83,27,1,14,196,77,2,1,55,5,60,3,76,20,0,10,2012,30000,3.205,1983-12-16,좌타우투,지명타자,좌익수,0.271,0.348,0.425,0.773,2013,511,0.896
최형우,30,128,573,511,80,156,99,28,0,29,271,98,2,1,47,7,54,1,91,5,0,8,2013,28000,4.911,1983-12-16,좌타우투,지명타자,좌익수,0.305,0.366,0.53,0.896,2014,430,1.075
최형우,31,113,493,430,92,153,89,33,0,31,279,100,4,2,50,7,57,1,62,11,0,6,2014,45000,5.334,1983-12-16,좌타우투,지명타자,좌익수,0.356,0.426,0.649,1.075,2015,547,0.965
최형우,32,144,637,547,94,174,107,33,1,33,308,123,2,5,73,9,82,7,101,13,0,8,2015,70000,4.863,1983-12-16,좌타우투,지명타자,좌익수,0.318,0.402,0.563,0.965,2016,519,1.115
최형우,33,138,618,519,99,195,116,46,2,31,338,144,2,2,83,9,92,8,83,12,0,7,2016,70000,7.959,1983-12-16,좌타우투,지명타자,좌익수,0.376,0.464,0.651,1.115,2017,514,1.026
최형우,34,142,629,514,98,176,111,36,3,26,296,120,0,1,96,11,107,8,82,15,0,8,2017,150000,6.674,1983-12-16,좌타우투,지명타자,좌익수,0.342,0.45,0.576,1.026,2018,528,0.963
최형우,35,143,609,528,92,179,119,34,1,25,290,103,3,0,66,7,73,7,87,17,0,8,2018,150000,4.367,1983-12-16,좌타우투,지명타자,좌익수,0.339,0.414,0.549,0.963,2019,456,0.898
김호령,23,103,283,257,31,56,43,10,2,1,73,21,11,2,15,5,20,0,83,2,6,0,2015,6000,0.851,1992-04-30,우타우투,중견수,중견수,0.218,0.274,0.284,0.558,2016,453,0.706
김호령,24,124,514,453,72,121,92,18,3,8,169,41,19,10,36,10,46,0,104,7,13,2,2016,6000,1.64,1992-04-30,우타우투,중견수,중견수,0.267,0.333,0.373,0.706,2017,90,0.732
이현곤,22,52,122,113,11,29,18,7,1,3,47,12,3,0,8,1,9,0,25,4,0,0,2002,2400,0.664,1980-02-21,우타우투,3루수,3루수,0.257,0.311,0.416,0.727,2003,350,0.665
이현곤,23,129,397,350,42,92,72,15,0,5,122,43,8,4,25,3,28,0,41,3,17,2,2003,2500,0.703,1980-02-21,우타우투,3루수,3루수,0.263,0.316,0.349,0.665,2004,116,0.743
이현곤,26,77,272,247,27,60,40,14,1,5,91,27,2,5,12,2,14,0,39,8,9,2,2006,5000,0.846,1980-02-21,우타우투,3루수,3루수,0.243,0.281,0.368,0.649,2007,453,0.812
이현곤,27,126,521,453,63,153,120,31,0,2,190,48,4,2,43,3,46,0,61,11,13,8,2007,6000,4.387,1980-02-21,우타우투,3루수,3루수,0.338,0.393,0.419,0.812,2008,393,0.643
이현곤,28,112,435,393,33,101,78,19,2,2,130,40,5,5,30,3,33,1,51,12,4,4,2008,12000,0.951,1980-02-21,우타우투,3루수,3루수,0.257,0.312,0.331,0.643,2009,363,0.64
이현곤,29,120,428,363,35,92,75,15,0,2,113,33,11,3,34,10,44,0,63,16,15,6,2009,10000,0.6,1980-02-21,우타우투,3루수,3루수,0.253,0.329,0.311,0.64,2010,260,0.656
이현곤,30,108,304,260,27,68,52,13,1,2,89,28,0,2,21,1,22,0,38,6,17,5,2010,13000,0.162,1980-02-21,우타우투,3루수,3루수,0.262,0.314,0.342,0.656,2011,222,0.662
이현곤,31,104,257,222,24,59,47,10,1,1,74,17,1,1,20,2,22,0,38,4,11,2,2011,11000,0.875,1980-02-21,우타우투,3루수,3루수,0.266,0.329,0.333,0.662,2012,5,0.533
이현곤,32,6,6,5,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,2012,10500,-0.011,1980-02-21,우타우투,3루수,3루수,0.2,0.333,0.2,0.533,2013,139,0.685
이현곤,33,91,161,139,10,38,31,7,0,0,45,9,2,0,16,3,19,0,14,4,3,0,2013,15000,0.273,1980-02-21,우타우투,3루수,3루수,0.273,0.361,0.324,0.685,2014,11,0.182
김원섭,25,19,17,13,0,2,1,1,0,0,3,1,1,0,3,1,4,0,1,0,0,0,2003,2400,0.051,1978-12-18,좌타우투,우익수,좌익수,0.154,0.353,0.231,0.584,2004,34,0.589
김원섭,26,41,41,34,3,9,9,0,0,0,9,1,0,3,3,0,3,0,8,0,4,0,2004,2300,-0.184,1978-12-18,좌타우투,우익수,좌익수,0.265,0.324,0.265,0.589,2005,25,0.117
김원섭,27,28,26,25,5,1,1,0,0,0,1,0,0,0,1,0,1,0,6,2,0,0,2005,2800,-0.445,1978-12-18,좌타우투,우익수,좌익수,0.04,0.077,0.04,0.117,2006,181,0.781
김원섭,28,94,213,181,26,61,53,5,3,0,72,13,12,2,14,0,14,0,27,2,17,1,2006,2800,1.412,1978-12-18,좌타우투,우익수,좌익수,0.337,0.383,0.398,0.781,2007,313,0.66
김원섭,29,114,360,313,40,76,58,11,4,3,104,28,9,9,38,2,40,0,58,5,6,1,2007,5300,0.651,1978-12-18,좌타우투,우익수,좌익수,0.243,0.328,0.332,0.66,2008,344,0.767
김원섭,30,106,404,344,55,105,87,14,4,0,127,30,21,8,51,3,54,1,50,3,4,2,2008,4700,2.765,1978-12-18,좌타우투,우익수,좌익수,0.305,0.398,0.369,0.767,2009,356,0.859
